#Tax ID,Gene ID,Interaction short phrase,product accession.version,product name,PubMed ID (PMID) list,last update timestamp,GeneRIF text
9606,103,inhibited by,NP_001020278.1,double-stranded RNA-specific adenosine deaminase isoform d,25272020,2016-07-26 14:53,siRNA knockdown of ADAR increases HIV-1 replication in monocyte-derived macrophages and alveolar macrophages from HIV-infected patients on antiretroviral therapy (N=4); ADAR restricts HIV-1 replication
9606,103,requires,NP_001020278.1,double-stranded RNA-specific adenosine deaminase isoform d,26629815,2017-09-12 10:58,HIV-1 requires ADAR1 for efficient replication in CD4+ T cells as shown through knockdown and genetic deletion
9606,107,enhanced by,NP_066939.1,adenylate cyclase type 1 isoform 1,19460752,2016-07-26 14:53,Knockdown of adenylate cyclase 1 (ADCY1) by shRNA library screening inhibits HIV-1 replication in cultured Jurkat T-cells
9606,119,enhanced by,NP_001608.1,beta-adducin isoform a,19460752,2016-07-26 14:53,"Knockdown of adducin 2, beta (ADD2) by shRNA library screening inhibits HIV-1 replication in cultured Jurkat T-cells"
9606,123,enhanced by,NP_001113.2,perilipin-2,19460752,2016-07-26 14:53,Knockdown of perilipin 2 (PLIN2) by shRNA library screening inhibits HIV-1 replication in cultured Jurkat T-cells
9606,142,enhanced by,NP_001609.2,poly,26379653,2016-07-26 14:53,HIV-1 replication is enhanced by PARP1 in monocyte derived macrophages
9606,156,enhanced by,NP_001610.2,beta-adrenergic receptor kinase 1,18854154,2016-07-26 14:53,"Knockdown of adrenergic, beta, receptor kinase 1 (ADRBK1) by siRNA inhibits the early stages of HIV-1 replication in 293T cells infected with VSV-G pseudotyped HIV-1"
9606,156,enhanced by,NP_001610.2,beta-adrenergic receptor kinase 1,18976975,2016-07-26 14:53,"Knockdown of adrenergic, beta, receptor kinase 1 (ADRBK1) by siRNA inhibits HIV-1 replication in HeLa P4/R5 cells"
9606,160,inhibited by,NP_055018.2,AP-2 complex subunit alpha-1 isoform 1,17560945,2016-07-26 14:53,"Knockdown of adaptor-related protein complex 2, alpha 1 subunit (AP2A1) by siRNAs significantly enhances HIV-1 replication in human acute monocytic leukemia cells"
9606,166,enhanced by,NP_001121.2,TLE family member 5 isoform b,19460752,2016-07-26 14:53,Knockdown of amino-terminal enhancer of split (AES) by shRNA library screening inhibits HIV-1 replication in cultured Jurkat T-cells
9606,166,enhanced by,NP_001121.2,TLE family member 5 isoform b,18854154,2016-07-26 14:53,Knockdown of amino-terminal enhancer of split (AES) by siRNA inhibits the early stages of HIV-1 replication in 293T cells infected with VSV-G pseudotyped HIV-1
9606,173,enhanced by,NP_001124.1,afamin precursor,18976975,2016-07-26 14:53,Knockdown of afamin (AFM) by siRNA inhibits HIV-1 replication in HeLa P4/R5 cells
9606,182,enhanced by,NP_000205.1,protein jagged-1 precursor,19460752,2016-07-26 14:53,Knockdown of jagged 1 (JAG1; HJ1) by shRNA library screening inhibits HIV-1 replication in cultured Jurkat T-cells
9606,207,enhanced by,NP_005154.2,RAC-alpha serine/threonine-protein kinase,18976975,2016-07-26 14:53,Knockdown of v-akt murine thymoma viral oncogene homolog 1 (AKT1) by siRNA inhibits HIV-1 replication in HeLa P4/R5 cells
9606,207,enhanced by,NP_005154.2,RAC-alpha serine/threonine-protein kinase,18187620,2016-07-26 14:53,Knockdown of v-akt murine thymoma viral oncogene homolog 1 (AKT1) by siRNA inhibits HIV-1 replication in HeLa-derived TZM-bl cells
9606,211,enhanced by,NP_000679.1,"5-aminolevulinate synthase, non-specific, mitochondrial isoform 1 precursor",19460752,2016-07-26 14:53,"Knockdown of aminolevulinate, delta-, synthase 1 (ALAS1) by shRNA library screening inhibits HIV-1 replication in cultured Jurkat T-cells"
9606,214,inhibited by,NP_001618.2,CD166 antigen isoform 1 precursor,22082156,2016-07-26 14:53,Knockdown of activated leukocyte cell adhesion molecule (ALCAM) by siRNA enhances the early stages of HIV-1 replication in HeLa-CD4 cells infected with viral pseudotypes HIV89.6R and HIV8.2N
9606,257,inhibited by,NP_006483.2,homeobox protein aristaless-like 3,22082156,2016-07-26 14:53,Knockdown of ALX homeobox 3 (ALX3) by siRNA enhances the early stages of HIV-1 replication in HeLa-CD4 cells infected with viral pseudotypes HIV89.6R and HIV8.2N
9606,275,inhibited by,NP_000472.2,"aminomethyltransferase, mitochondrial isoform 1 precursor",22404213,2016-07-26 14:53,Knockdown of aminomethyltransferase (AMT) by siRNA enhances HIV-1 replication in CD4+/CCR5+/CXCR4+ TZM-bl HeLa cells
9606,283,incorporates,NP_001136.1,angiogenin precursor,27211553,2017-09-15 11:26,"HIV-1 infected clinical samples have plasma extracellular vesicles that contain elevated CCL1 (I309), IGFBP1, CCL5 (RANTES), GMCSF, ANG (Angiogenin), ADIPOQ (ACRP30), CSF3 (GCSF), CXCL1, ICAM1, IL2RA, IL6R, TNFRSF1A, and TIMP1 compared to healthy donors"
9606,284,enhanced by,NP_001137.2,angiopoietin-1 isoform 1 precursor,19460752,2016-07-26 14:53,Knockdown of angiopoietin 1 (ANGPT1) by shRNA library screening inhibits HIV-1 replication in cultured Jurkat T-cells
9606,308,regulated by,NP_001145.1,annexin A5,18976975,2016-07-26 14:53,"Knockdown of annexin A5 (ANXA5) by siRNA has both activating and inhibiting activities on HIV-1 replication in HeLa P4/R5 cells, suggesting a regulatory role in HIV replication"
9606,328,enhanced by,NP_001632.2,DNA-(apurinic or apyrimidinic site) endonuclease,19266025,2016-07-26 14:53,"SiRNA-mediated knockdown of one of the components of the SET complex, APE1, inhibits HIV-1 infection with significantly reduced levels of integrated HIV-1 DNA and viral production in HeLa-CD4 cells"
9606,331,enhanced by,NP_001158.2,E3 ubiquitin-protein ligase XIAP,18854154,2016-07-26 14:53,Knockdown of X-linked inhibitor of apoptosis (XIAP; BIRC4) by siRNA inhibits the early stages of HIV-1 replication in 293T cells infected with VSV-G pseudotyped HIV-1
9606,338,enhanced by,NP_000375.2,apolipoprotein B-100 precursor,18976975,2016-07-26 14:53,Knockdown of apolipoprotein B (APOB) by siRNA inhibits HIV-1 replication in HeLa P4/R5 cells
9606,354,inhibited by,NP_001639.1,prostate-specific antigen isoform 1 preproprotein,22082156,2016-07-26 14:53,Knockdown of kallikrein-related peptidase 3 (KLK3) by siRNA enhances the early stages of HIV-1 replication in HeLa-CD4 cells infected with viral pseudotypes HIV89.6R and HIV8.2N
9606,375,enhanced by,NP_001649.1,ADP-ribosylation factor 1,18187620,2016-07-26 14:53,Knockdown of ADP-ribosylation factor 1 (ARF1) by siRNA inhibits HIV-1 replication in HeLa-derived TZM-bl cells
9606,382,inhibited by,NP_001654.1,ADP-ribosylation factor 6,17560945,2016-07-26 14:53,Knockdown of ADP-ribosylation factor 6 (ARF6) by siRNAs significantly enhances HIV-1 replication in human acute monocytic leukemia cells
9606,406,enhanced by,NP_001169.3,basic helix-loop-helix ARNT-like protein 1 isoform a,19460752,2016-07-26 14:53,Knockdown of aryl hydrocarbon receptor nuclear translocator-like (ARNTL) by shRNA library screening inhibits HIV-1 replication in cultured Jurkat T-cells
9606,475,enhanced by,NP_004036.1,copper transport protein ATOX1,18976975,2016-07-26 14:53,Knockdown of ATX1 antioxidant protein 1 homolog (ATOX1) by siRNA inhibits HIV-1 replication in HeLa P4/R5 cells
9606,498,enhanced by,NP_004037.1,"ATP synthase subunit alpha, mitochondrial isoform a precursor",19460752,2016-07-26 14:53,"Knockdown of ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle (ATP5A1) by shRNA library screening inhibits HIV-1 replication in cultured Jurkat T-cells"
9606,506,enhanced by,NP_001677.2,"ATP synthase subunit beta, mitochondrial precursor",18976975,2016-07-26 14:53,"Knockdown of ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (ATP5B) by siRNA inhibits HIV-1 replication in HeLa P4/R5 cells"
9606,521,enhanced by,NP_009031.1,"ATP synthase subunit e, mitochondrial",19460752,2016-07-26 14:53,"Knockdown of ATP synthase, H+ transporting, mitochondrial Fo complex, subunit E (ATP5I) by shRNA library screening inhibits HIV-1 replication in cultured Jurkat T-cells"
9606,527,enhanced by,NP_001685.1,V-type proton ATPase 16 kDa proteolipid subunit c,18854154,2016-07-26 14:53,"Knockdown of ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c (ATP6V0C) by siRNA inhibits the early stages of HIV-1 replication in 293T cells infected with VSV-G pseudotyped HIV-1"
9606,533,enhanced by,NP_004038.1,V-type proton ATPase 21 kDa proteolipid subunit c'' isoform 1,19460752,2016-07-26 14:53,"Knockdown of ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b (ATP6V0B) by shRNA library screening inhibits HIV-1 replication in cultured Jurkat T-cells"
9606,535,enhanced by,NP_005168.2,V-type proton ATPase 116 kDa subunit a 1 isoform 3,18187620,2016-07-26 14:53,"Knockdown of ATPase, H+ transporting, lysosomal V0 subunit a1 (ATP6V0A1) by siRNA inhibits HIV-1 replication in HeLa-derived TZM-bl cells"
9606,537,enhanced by,NP_001174.2,V-type proton ATPase subunit S1 precursor,25496667,2016-07-26 14:53,Knockdown of ATP6AP1 by shRNA significantly inhibits HIV-1 replication in CD4+ T-cells
9606,581,upregulates,NP_001278357.1,apoptosis regulator BAX isoform 1,25924204,2017-09-15 11:26,HIV/tuberculosis coinfection upregulates BAX expression in pleural fluid mononuclear cells (PFMC) isolated from antiretroviral-naive coinfected patients (relative to patients infected with only tuberculosis)
9606,607,enhanced by,NP_004317.2,B-cell CLL/lymphoma 9 protein,18187620,2016-07-26 14:53,Knockdown of B-cell CLL/lymphoma 9 (BCL9) by siRNA inhibits HIV-1 replication in HeLa-derived TZM-bl cells
9606,613,enhanced by,NP_004318.3,breakpoint cluster region protein isoform 1,18976975,2016-07-26 14:53,Knockdown of breakpoint cluster region (BCR) by siRNA inhibits HIV-1 replication in HeLa P4/R5 cells
9606,639,enhanced by,NP_001189.2,PR domain zinc finger protein 1 isoform 1,19460752,2016-07-26 14:53,"Knockdown of PR domain containing 1, with ZNF domain (PRDM1; BLIMP1) by shRNA library screening inhibits HIV-1 replication in cultured Jurkat T-cells"
9606,639,reduces,NP_001189.2,PR domain zinc finger protein 1 isoform 1,25265234,2017-09-29 13:47,HIV-1 reduces expression of PRDM1 (BLIMP1) expression and inversely correlates with HIV-1 viral load and TP53 (Ki67) expression in activated B cells from HIV-1-infected treatment naive individuals
9606,640,enhanced by,NP_001706.2,tyrosine-protein kinase Blk isoform 1,18854154,2016-07-26 14:53,Knockdown of B lymphoid tyrosine kinase (BLK) by siRNA inhibits the early stages of HIV-1 replication in 293T cells infected with VSV-G pseudotyped HIV-1
9606,643,downregulates,NP_001707.1,C-X-C chemokine receptor type 5 isoform 1,26873986,2017-09-15 11:26,HIV-1 infection downregulates CXCR5 and PDCD1 (PD1) expression in primary germinal center T follicular helper cells
9606,649,enhanced by,NP_001190.1,bone morphogenetic protein 1 isoform 1 precursor,18854154,2016-07-26 14:53,Knockdown of bone morphogenetic protein 1 (BMP1) by siRNA inhibits the early stages of HIV-1 replication in 293T cells infected with VSV-G pseudotyped HIV-1
9606,672,enhanced by,NP_009225.1,breast cancer type 1 susceptibility protein isoform 1,18976975,2016-07-26 14:53,"Knockdown of breast cancer 1, early onset (BRCA1) by siRNA inhibits HIV-1 replication in HeLa P4/R5 cells"
9606,676,enhanced by,NP_001717.2,bromodomain testis-specific protein isoform b,18976975,2016-07-26 14:53,"Knockdown of bromodomain, testis-specific (BRDT) by siRNA inhibits HIV-1 replication in HeLa P4/R5 cells"
9606,684,downregulates,NP_004326.1,bone marrow stromal antigen 2 precursor,"26439863,26497177",2017-09-15 11:26,HIV-1 infection (VSV-G pseudotyped) of CEMT4 T cells downregulates plasma membrane expression of BST2
9606,684,inhibited by,NP_004326.1,bone marrow stromal antigen 2 precursor,23613843,2016-07-26 14:53,Knockdown of BST-2 by siRNA enhances production of infectious HIV-1 particles in HeLa cells
9606,684,inhibited by,NP_004326.1,bone marrow stromal antigen 2 precursor,26497177,2017-09-15 11:26,Capsid expressing (p24+) cells from pleural fluid of HIV-1/TB coinfected patients or in vitro infected PBMC (whit HIV-1 NL4-3 or NLAD8) downregulate HLA-A/B/C and BST2 (Tetherin) concomitantly with CD4 downregulation
9606,684,inhibited by,NP_004326.1,bone marrow stromal antigen 2 precursor,26184634,2017-09-15 11:26,HIV-1 infectivity/virus release from cells correlates negatively with cell surface BST2 expression levels
9606,689,enhanced by,NP_001198.2,transcription factor BTF3 isoform B,19460752,2016-07-26 14:53,Knockdown of basic transcription factor 3 (BTF3) by shRNA library screening inhibits HIV-1 replication in cultured Jurkat T-cells
9606,706,inhibited by,NP_000705.2,translocator protein,24403586,2016-07-26 14:53,Knockdown of TSPO by shRNA enhances HIV-1 replication in nonpermissive NKR cells
9606,728,involves,NP_001727.1,C5a anaphylatoxin chemotactic receptor 1,26537334,2017-09-12 10:58,HIV-1 infectivity involves C5AR1 in complex with CCR5 on THP-1 and monocyte-derived macrophages as shown through decreased CCR5-tropic provirus genomic integration in the presence of neutralizing C5aR1 antibody or siRNA or hC5a
9606,745,enhanced by,NP_037411.1,myelin regulatory factor isoform 1,18854154,2016-07-26 14:53,Knockdown of chromosome 11 open reading frame 9 (C11orf9) by siRNA inhibits the early stages of HIV-1 replication in 293T cells infected with VSV-G pseudotyped HIV-1
9606,760,enhanced by,NP_000058.1,carbonic anhydrase 2 isoform 1,18976975,2016-07-26 14:53,Knockdown of carbonic anhydrase II (CA2) by siRNA inhibits HIV-1 replication in HeLa P4/R5 cells
9606,768,downregulates,NP_001207.2,carbonic anhydrase 9 precursor,26439863,2017-09-15 11:26,HIV-1 infection (VSV-G pseudotyped) of CEMT4 T cells downregulates plasma membrane expression of CA9
9606,786,enhanced by,NP_000718.1,voltage-dependent calcium channel gamma-1 subunit,18187620,2016-07-26 14:53,"Knockdown of calcium channel, voltage-dependent, gamma subunit 1 (CACNG1) by siRNA inhibits HIV-1 replication in HeLa-derived TZM-bl cells"
9606,790,enhanced by,NP_004332.2,CAD protein isoform 1,18854154,2016-07-26 14:53,"Knockdown of carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase (CAD) by siRNA inhibits the early stages of HIV-1 replication in 293T cells infected with VSV-G pseudotyped HIV-1"
9606,825,enhanced by,NP_000061.1,calpain-3 isoform a,19460752,2016-07-26 14:53,Knockdown of calpain 3 (CAPN3; p94) by shRNA library screening inhibits HIV-1 replication in cultured Jurkat T-cells
9606,827,enhanced by,NP_055104.2,calpain-6,18187620,2016-07-26 14:53,Knockdown of calpain 6 (CAPN6) by siRNA inhibits HIV-1 replication in HeLa-derived TZM-bl cells
9606,834,increases,NP_150634.1,caspase-1 isoform alpha precursor,25806508,2017-09-15 11:26,HIV-1-infected clinical samples have increased plasma levels of CASP1 (Caspase-1) concomitant with higher levels of CD4+ T lymphocytes
9606,836,activates,NP_004337.2,caspase-3 isoform a preproprotein,26110635,2017-09-15 11:26,In vitro infection with HIV-1 subtype B activates caspase-3 in neuronal cells
9606,842,activates,NP_001220.2,caspase-9 isoform alpha precursor,25386736,2017-09-15 11:26,HIV-1 activates CASP9 (Caspase-9) in CD4+ T lymphocytes as observed in clinical samples collected from HIV-1 infected patients
9606,842,activates,NP_001220.2,caspase-9 isoform alpha precursor,25329893,2017-09-15 11:26,"HIV-1 subtype C activates CASP9, which induces apoptosis of cardiomyocytes and can be inhibited with the HIV-1 neutralizing aptamer UCLA1"
9606,857,inhibited by,NP_001744.2,caveolin-1 isoform alpha,25551286,2016-07-26 14:53,Knockdown of caveolin 1 (CAV1) by siRNA enhances HIV-1 infection in human Langerhans cells
9606,858,enhanced by,NP_001224.1,caveolin-2 isoform a,18187620,2016-07-26 14:53,Knockdown of caveolin 2 (CAV2) by siRNA inhibits HIV-1 replication in HeLa-derived TZM-bl cells
9606,858,enhanced by,NP_001224.1,caveolin-2 isoform a,18976975,2016-07-26 14:53,Knockdown of caveolin 2 (CAV2) by siRNA inhibits HIV-1 replication in HeLa P4/R5 cells
9606,865,enhanced by,NP_001746.1,core-binding factor subunit beta isoform 2,"22190036,22190037",2016-07-26 14:53,"Knockdown of core-binding factor, beta subunit (CBFB) by siRNA/shRNA inhibits HIV-1 replication in 293T cells"
9606,865,restricted by,NP_001746.1,core-binding factor subunit beta isoform 2,26601257,2017-09-12 10:58,HIV-1 infectivity with Vif-deficient strains is enhanced by knockdown of CBFB because restrictive APOBEC3 expression is dependent upon CBFB expression
9606,901,enhanced by,NP_004345.1,cyclin-G2,19460752,2016-07-26 14:53,Knockdown of cyclin G2 (CCNG2) by shRNA library screening inhibits HIV-1 replication in cultured Jurkat T-cells
9606,904,enhanced by,NP_001231.2,cyclin-T1 isoform a,18976975,2016-07-26 14:53,Knockdown of cyclin T1 (CCNT1) by siRNA inhibits HIV-1 replication in HeLa P4/R5 cells
9606,904,enhanced by,NP_001231.2,cyclin-T1 isoform a,18187620,2016-07-26 14:53,Knockdown of cyclin T1 (CCNT1) by siRNA inhibits HIV-1 replication in HeLa-derived TZM-bl cells
9606,904,increases,NP_001231.2,cyclin-T1 isoform a,16330531,2017-09-15 11:26,HIV-1 infection increases CCNT1 (Cyclin T1) expression in monocyte derived macrophages
9606,904,restricted by,NP_001231.2,cyclin-T1 isoform a,26188041,2017-09-15 11:26,HIV transcription is restricted by the dissociation of a functional P-TEFb complex (CCNT1-CDK9) caused by PPP1R10 (PNUTS)
9606,920,downregulates,NP_000607.1,T-cell surface glycoprotein CD4 isoform 1 precursor,"26439863,26873986",2017-09-15 11:26,HIV-1 infection (VSV-G pseudotyped) of CEMT4 T cells downregulates plasma membrane expression of CD4
9606,920,downregulates,NP_000607.1,T-cell surface glycoprotein CD4 isoform 1 precursor,26873986,2017-09-15 11:26,"HIV-1 infection downregulates CD4 expression in CD4+ T cells from human, pediatric tonsils"
9606,920,enhanced by,NP_000607.1,T-cell surface glycoprotein CD4 isoform 1 precursor,25973004,2016-07-26 14:53,siRNA knockdown of CD4 decreases HIV production from monocyte-derived macrophages (MDMs) infected with HIV-1 (SX strain) at a low multiplicity of infection (MOI= 0.02)
9606,920,enhanced by,NP_000607.1,T-cell surface glycoprotein CD4 isoform 1 precursor,25973004,2016-07-26 14:53,"siRNA knockdown of CD4 decreases CCR5-tropic (ADA) and dual-tropic (89.6) pseudotyped virus (luciferase reporter HIV backbone presumed) infection of MDMs, yet does not affect MLV- and VSV-pseudotyped virus infection, as measured by luciferase activity"
9606,920,enhanced by,NP_000607.1,T-cell surface glycoprotein CD4 isoform 1 precursor,"18187620,22404213,25100719",2016-07-26 14:53,Knockdown of CD4 by siRNA inhibits HIV-1 replication in HeLa-derived TZM-bl cells
9606,920,enhanced by,NP_000607.1,T-cell surface glycoprotein CD4 isoform 1 precursor,18976975,2016-07-26 14:53,Knockdown of CD4 by siRNA inhibits HIV-1 replication in HeLa P4/R5 cells
9606,920,requires,NP_000607.1,T-cell surface glycoprotein CD4 isoform 1 precursor,26339058,2017-09-15 11:26,"Macrophage-tropic HIV-1 isolates from patients require less CD4 for entry, but are readily neutralized by soluble CD4"
9606,921,downregulates,NP_055022.2,T-cell surface glycoprotein CD5 isoform 1 precursor,26439863,2017-09-15 11:26,HIV-1 infection (VSV-G pseudotyped) of CEMT4 T cells downregulates plasma membrane expression of CD5
9606,939,downregulates,NP_001233.1,CD27 antigen precursor,26439863,2017-09-15 11:26,HIV-1 infection (VSV-G pseudotyped) of CEMT4 T cells downregulates plasma membrane expression of CD27
9606,940,downregulates,NP_001230006.1,T-cell-specific surface glycoprotein CD28 isoform 2 precursor,26439863,2017-09-15 11:26,HIV-1 infection (VSV-G pseudotyped) of CEMT4 T cells downregulates plasma membrane expression of CD28
9606,943,downregulates,NP_001234.3,tumor necrosis factor receptor superfamily member 8 isoform 1 precursor,26439863,2017-09-15 11:26,HIV-1 infection (VSV-G pseudotyped) of CEMT4 T cells downregulates plasma membrane expression of TNFRSF8
9606,949,downregulates,NP_001076428.1,scavenger receptor class B member 1 isoform 2,26439863,2017-09-15 11:26,HIV-1 infection (VSV-G pseudotyped) of CEMT4 T cells downregulates plasma membrane expression of SCARB1
9606,951,downregulates,NP_001035120.1,leukocyte antigen CD37 isoform B,26439863,2017-09-15 11:26,HIV-1 infection (VSV-G pseudotyped) of CEMT4 T cells downregulates plasma membrane expression of CD37
9606,952,upregulates,NP_001766.2,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,"25386736,26764036",2017-09-15 11:26,HIV-1 upregulates CD38 on CD4+ and CD8+ T lymphocytes as observed in clinical samples collected from HIV-1 infected patients
9606,960,downregulates,NP_000601.3,CD44 antigen isoform 1 precursor,26439863,2017-09-15 11:26,HIV-1 infection (VSV-G pseudotyped) of CEMT4 T cells downregulates plasma membrane expression of CD44
9606,961,downregulates,NP_001768.1,leukocyte surface antigen CD47 isoform 1 precursor,26439863,2017-09-15 11:26,HIV-1 infection (VSV-G pseudotyped) of CEMT4 T cells downregulates plasma membrane expression of CD47
9606,961,downregulates,NP_001768.1,leukocyte surface antigen CD47 isoform 1 precursor,26439863,2017-09-15 11:26,HIV-1 infection (VSV-G pseudotyped) of CD3/CD28-activated primary CD4+ T cells downregulates plasma membrane expression of CD47 (IAP)
9606,966,requires,NP_976075.1,CD59 glycoprotein preproprotein,27231035,2017-09-12 10:58,HIV-1 replication requires CD59 as cells lacking CD59 did not support efficient viral replication
9606,967,enhanced by,NP_001771.1,CD63 antigen isoform A,25973004,2016-07-26 14:53,siRNA knockdown of CD63 in U1/HIV-1 cells (chronically infected monocytoid cells harboring 2 integrated copies of HIV provirus per cell) decreases CA (p24) levels in supernatants but does not affect intracellular CA (p24) levels
9606,967,enhanced by,NP_001771.1,CD63 antigen isoform A,25973004,2016-07-26 14:53,siRNA knockdown of CD63 decreases HIV production from monocyte-derived macrophages (MDMs) infected with HIV-1 (SX strain) at a low multiplicity of infection (MOI= 0.02)
9606,967,enhanced by,NP_001771.1,CD63 antigen isoform A,25973004,2016-07-26 14:53,siRNA knockdown of CD63 decreases HIV production from peripheral blood lymphocytes and dendritic cells as measured by supernatant CA (p24) levels
9606,967,enhanced by,NP_001771.1,CD63 antigen isoform A,25973004,2016-07-26 14:53,"siRNA knockdown of CD63 decreases CCR5-tropic (ADA) and dual-tropic (89.6) pseudotyped virus (luciferase reporter HIV backbone presumed) infection of MDMs, yet does not affect MLV- and VSV-pseudotyped virus infection, as measured by luciferase activity"
9606,967,enhanced by,NP_001771.1,CD63 antigen isoform A,"18682304,21315401,24507450",2016-07-26 14:53,"Knockdown of CD63 by siRNA inhibits HIV-1 infection and replication in human CD4+ T cells, macrophages, and peripheral blood lymphocytes"
9606,967,enhanced by,NP_001771.1,CD63 antigen isoform A,27655726,2017-09-12 10:58,HIV-1 LAI replication requires CD63 expression as knockdown with shRNA decreases viral production in HeLa cells
9606,975,downregulates,NP_001284578.1,CD81 antigen isoform 2,26439863,2017-09-15 11:26,HIV-1 infection (VSV-G pseudotyped) of CEMT4 T cells downregulates plasma membrane expression of CD81
9606,976,enhanced by,NP_001775.2,adhesion G protein-coupled receptor E5 isoform 2 preproprotein,18976975,2016-07-26 14:53,Knockdown of CD97 molecule by siRNA inhibits HIV-1 replication in HeLa P4/R5 cells
9606,998,activates,NP_001782.1,cell division control protein 42 homolog isoform 1 precursor,26582347,2017-09-15 11:26,HIV-1 activates CDC42 in monocyte derived dendritic cells
9606,1021,downregulates,NP_001138778.1,cyclin-dependent kinase 6,26439863,2017-09-15 11:26,HIV-1 infection (VSV-G pseudotyped) of CEMT4 T cells downregulates plasma membrane expression of CDK6
9606,1025,inhibited by,NP_001252.1,cyclin-dependent kinase 9,26188041,2017-09-15 11:26,HIV transcription is restricted by the dissociation of a functional P-TEFb complex (CCNT1-CDK9) caused by PPP1R10 (PNUTS)
9606,1025,requires,NP_001252.1,cyclin-dependent kinase 9,27783955,2017-09-12 10:58,HIV-1 NL4-3 replication requires CDK9 as replication is inhibited when CDK9 is deleted through CRISPR/Cas9 genome editing
9606,1026,induces,NP_001278478.1,cyclin-dependent kinase inhibitor 1 isoform 2,26755399,2017-09-15 11:26,HIV-1 infection in CD4+ T cells induces higher expression of CDKN1A (p21)
9606,1036,enhanced by,NP_001792.2,cysteine dioxygenase type 1 isoform 2,18976975,2016-07-26 14:53,"Knockdown of cysteine dioxygenase, type I (CDO1) by siRNA inhibits HIV-1 replication in HeLa P4/R5 cells"
9606,1050,induces,NP_001274353.1,CCAAT/enhancer-binding protein alpha isoform c,26862581,2017-09-15 11:26,"HIV-1 infection increases basal mRNA levels of JUN, IL6, STAT1, CEBPA, RELA, and CEBPG in monocyte derived macrophages"
9606,1054,induces,NP_001797.1,CCAAT/enhancer-binding protein gamma,26862581,2017-09-15 11:26,"HIV-1 infection increases basal mRNA levels of JUN, IL6, STAT1, CEBPA, RELA, and CEBPG in monocyte derived macrophages"
